id,title,island,locality,area,price,beds,size,floor,date
,"Penthouse in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,182000,3,105,3,2020-09-15
,"Flat / Apartment in D´Escorça, Son Amonda - Reis Catòlics, Inca",Mallorca,Inca,Son Amonda - Reis Catòlics,172000,2,87,1,2020-09-15
,"Flat / Apartment in reyes catolics, Son Canals - Can Capes, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Canals - Can Capes,199900,3,93,2,2020-09-15
,"Flat / Apartment in Can Picafort, Santa Margalida",Mallorca,Santa Margalida,Can Picafort,170000,3,93,2,2020-09-15
,"Flat / Apartment in calle del Bosc, Peguera, Calvià",Mallorca,Calvià,Peguera,195000,3,81,1,2020-09-15
,"Flat / Apartment in calle Milana, Son Ferrer, Calvià",Mallorca,Calvià,Son Ferrer,189000,3,95,3,2020-09-15
,"Penthouse in RAFAEL RAMIS I TOGURES, Ses Cadenes-Arenal, Palma de Mallorca",Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,199500,3,90,1,2020-09-15
,"Penthouse in calle de Santiago Álvarez Avellan, Sa Indiotería - Son Castelló, Palma de Mallorca",Mallorca,Palma de Mallorca,Sa Indiotería - Son Castelló,162000,4,115,4,2020-09-15
,"Flat / Apartment in calle d'Indalecio Prieto, La Soledat, Palma de Mallorca",Mallorca,Palma de Mallorca,La Soledat,138000,3,108,3,2020-09-15
,"Flat / Apartment in calle de Joan Alcover, 22, Montuiri",Mallorca,Montuiri,22,172000,3,140,2,2020-09-15
,"Flat / Apartment in travesía Jesús, Bons Aires, Palma de Mallorca",Mallorca,Palma de Mallorca,Bons Aires,184000,3,79,1,2020-09-15
,"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,187000,3,95,2,2020-09-15
,"Flat / Apartment in avenida TOMAS DE VILLANUEVA CORTES, Son Oliva, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Oliva,184000,3,98,3,2020-09-15
,"Penthouse in Son Roca - Son Ximelis - Son Anglada, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Roca - Son Ximelis - Son Anglada,139000,3,74,3,2020-09-15
,"Flat / Apartment in calle d'Aragó, El Vivero, Palma de Mallorca",Mallorca,Palma de Mallorca,El Vivero,199500,3,105,3,2020-09-15
,"Duplex in Centro, Inca",Mallorca,Inca,Centro,168000,3,94,1,2020-09-15
,"Penthouse in Llucmajor Interior, Llucmajor",Mallorca,Llucmajor,Llucmajor Interior,138000,3,127,3,2020-09-15
,"Flat / Apartment in Rafal Vell, Palma de Mallorca",Mallorca,Palma de Mallorca,Rafal Vell,190000,3,90,3,2020-09-15
,"Flat / Apartment in Son Ferrer, Calvià",Mallorca,Calvià,Son Ferrer,169000,2,62,2,2020-09-15
,"Flat / Apartment in San Jose de la montaña, 10, Camp Redo, Palma de Mallorca",Mallorca,Palma de Mallorca,Camp Redo,139450,3,100,5,2020-09-15
,Flat / Apartment in Campos,Mallorca,Campos,,150000,3,97,1,2020-09-15
,"Penthouse in malgrana, Son Cladera - Son Fuster, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Cladera - Son Fuster,128000,3,82,5,2020-09-15
,"Flat / Apartment in calle del Geòleg Guillem Colom, Camp Redo, Palma de Mallorca",Mallorca,Palma de Mallorca,Camp Redo,199000,4,101,2,2020-09-15
,"Flat / Apartment in Llucmajor Interior, Llucmajor",Mallorca,Llucmajor,Llucmajor Interior,199000,2,90,2,2020-09-15
,"Flat / Apartment in Ses Cadenes-Arenal, Palma de Mallorca",Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,159500,3,84,3,2020-09-15
,"Flat / Apartment in S'Arenal, Llucmajor",Mallorca,Llucmajor,S'Arenal,169500,3,80,6,2020-09-15
,"Flat / Apartment in alos, Camp d'En Serralta , Palma de Mallorca",Mallorca,Palma de Mallorca,Camp d'En Serralta ,189999,2,58,5,2020-09-15
,"Flat / Apartment in residencia, Can Picafort, Santa Margalida",Mallorca,Santa Margalida,Can Picafort,183000,3,71,2,2020-09-15
,"Flat / Apartment in Orellana, Can Picafort, Santa Margalida",Mallorca,Santa Margalida,Can Picafort,190000,3,85,1,2020-09-15
,"Duplex in calle Manacor, 13, Campos",Mallorca,Campos,13,184500,2,94,1,2020-09-15
,"Flat / Apartment in Andratx Pueblo, Andratx",Mallorca,Andratx,Andratx Pueblo,175000,2,84,1,2020-09-15
,"Flat / Apartment in Foners, Palma de Mallorca",Mallorca,Palma de Mallorca,Foners,178000,3,115,1,2020-09-15
,"Penthouse in Rafel Alberti, Blanquer, Inca",Mallorca,Inca,Blanquer,175000,2,180,3,2020-09-15
,"Flat / Apartment in calle de Berlín, Ses Cadenes-Arenal, Palma de Mallorca",Mallorca,Palma de Mallorca,Ses Cadenes-Arenal,170000,2,82,2,2020-09-15
,"Flat / Apartment in calle de Can Rayó, Gran Via de Colom, Inca",Mallorca,Inca,Gran Via de Colom,145000,2,65,2,2020-09-15
,"Flat / Apartment in calle de Sagasta, Son Cotoner, Palma de Mallorca",Mallorca,Palma de Mallorca,Son Cotoner,169000,3,61,3,2020-09-15
,"Flat / Apartment in Sa Torre, NN, Sa Torre, Llucmajor",Mallorca,Llucmajor,Sa Torre,177000,2,82,1,2020-09-15
,"Flat / Apartment in calle sol, 65, Porreres",Mallorca,Porreres,65,125000,2,75,2,2020-09-15
,"Flat / Apartment in calle murillo, Cala Pi-Vallgornera, Llucmajor",Mallorca,Llucmajor,Cala Pi-Vallgornera,170000,2,80,1,2020-09-15
