island,locality,area,price,beds,size,floor,date
Mallorca,Palma de Mallorca,Rafal Vell,187000,3,114,1,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,159000,3,90,3,2020-09-09
Mallorca,Marratxi,Sa Cabana - Can Carbonell - Ses Cases Noves,198000,2,81,1,2020-09-09
Mallorca,Palma de Mallorca,Camp d'En Serralta ,189000,3,92,5,2020-09-09
Mallorca,Felanitx,Felanitx centro,145000,3,120,2,2020-09-09
Mallorca,Alcúdia,Port d'Alcúdia - Platja d'Alcúdia,170000,4,115,4,2020-09-09
Mallorca,Palma de Mallorca,Son Canals - Can Capes,169000,3,90,1,2020-09-09
Mallorca,Palma de Mallorca,Cas Capiscol,170000,3,85,2,2020-09-09
Mallorca,Marratxi,Sa Cabana - Can Carbonell - Ses Cases Noves,195000,2,85,1,2020-09-09
Mallorca,Palma de Mallorca,Hostalets - Son Fortesa Sud,180000,2,80,5,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,189000,3,85,2,2020-09-09
Mallorca,Calvià,Magaluf,159000,2,65,1,2020-09-09
Mallorca,Porreres,,193000,3,120,2,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,198000,4,115,1,2020-09-09
Mallorca,Palma de Mallorca,Foners,184000,2,60,1,2020-09-09
Mallorca,Palma de Mallorca,Foners,157500,3,82,3,2020-09-09
Mallorca,Manacor,Manacor Centro,163000,2,97,4,2020-09-09
Mallorca,Manacor,Manacor Centro,168000,3,120,1,2020-09-09
Mallorca,Palma de Mallorca,Plaça de Toros,199000,2,104,1,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,195000,3,85,2,2020-09-09
Mallorca,Palma de Mallorca,Son Gotleu,87300,3,75,5,2020-09-09
Mallorca,Palma de Mallorca,Son Cladera - Son Fuster,122000,3,81,5,2020-09-09
Mallorca,Palma de Mallorca,Rafal Vell,160000,3,93,3,2020-09-09
Mallorca,Inca,Blanquer,184000,3,190,1,2020-09-09
Mallorca,Palma de Mallorca,Son Canals - Can Capes,190000,3,85,2,2020-09-09
Mallorca,Inca,Son Amonda - Reis Catòlics,169000,3,100,1,2020-09-09
Mallorca,Inca,Gran Via de Colom,154500,2,110,2,2020-09-09
Mallorca,Felanitx,Portocolom,175000,2,66,1,2020-09-09
Mallorca,Llucmajor,S'Arenal,175000,3,108,2,2020-09-09
Mallorca,Palma de Mallorca,Coll d'En Rabassa,195000,3,100,2,2020-09-09
Mallorca,Palma de Mallorca,La Soledat,145000,2,66,2,2020-09-09
Mallorca,Andratx,Andratx Pueblo,139000,2,77,2,2020-09-09
Mallorca,Calvià,Santa Ponça,194000,2,79,1,2020-09-09
Mallorca,Andratx,Andratx Pueblo,162500,3,95,2,2020-09-09
Mallorca,Alcúdia,Port d'Alcúdia - Platja d'Alcúdia,140000,2,70,2,2020-09-09
Mallorca,Inca,Zona periurbana,158000,3,112,4,2020-09-09
Mallorca,Campos,calle DE MALLORCA,147000,3,100,2,2020-09-09
Mallorca,Palma de Mallorca,Hostalets - Son Fortesa Sud,198000,3,87,6,2020-09-09
Mallorca,Colonia de Sant Pere,38,196000,2,85,1,2020-09-09
Mallorca,Palma de Mallorca,Rafal Nou - Estadi Balear - Son Malferit,190890,2,120,1,2020-09-09
Mallorca,Palma de Mallorca,Son Cladera - Son Fuster,195000,2,100,1,2020-09-09
Mallorca,Inca,Gran Via de Colom,168000,3,127,4,2020-09-09
Mallorca,Villafranca de Bonany,94,170000,2,115,1,2020-09-09
Mallorca,Palma de Mallorca,Cala Major,147900,2,71,6,2020-09-09
Mallorca,Manacor,Manacor Centro,169000,3,141,3,2020-09-09
Mallorca,Palma de Mallorca,Foners,200000,3,98,4,2020-09-09
Mallorca,Palma de Mallorca,El Vivero,98000,3,80,4,2020-09-09
Mallorca,Palma de Mallorca,Son Oliva,144500,2,75,3,2020-09-09
Mallorca,Marratxi,Sa Cabana - Can Carbonell - Ses Cases Noves,199000,3,110,3,2020-09-09
Mallorca,Muro,,136000,2,60,3,2020-09-09
Mallorca,Palma de Mallorca,Son Roca - Son Ximelis - Son Anglada,115000,3,74,4,2020-09-09
Mallorca,Llucmajor,Llucmajor Interior,190000,2,104,1,2020-09-09
Mallorca,Manacor,Porto Cristo,120000,2,128,2,2020-09-09
Mallorca,Palma de Mallorca,Son Roca - Son Ximelis - Son Anglada,117000,3,82,4,2020-09-09
Mallorca,Palma de Mallorca,Sa Indiotería - Son Castelló,175000,3,118,2,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,162000,3,73,4,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,183000,4,100,2,2020-09-09
Mallorca,Palma de Mallorca,Nou Llevant,179950,3,101,1,2020-09-09
Mallorca,Llucmajor,Ses Palmeres,177000,2,75,5,2020-09-09
Mallorca,Llucmajor,Sa Torre,185000,3,90,1,2020-09-09
Mallorca,Calvià,Son Ferrer,175000,2,62,2,2020-09-09
Mallorca,Palma de Mallorca,Foners,184000,2,72,1,2020-09-09
Mallorca,Palma de Mallorca,Pere Garau,199000,3,82,2,2020-09-09
Mallorca,Palma de Mallorca,La Soledat,128700,3,79,2,2020-09-09
Mallorca,Campos,,166000,3,100,2,2020-09-09
Mallorca,Alcúdia,Ciutat d'Alcúdia,185000,3,98,2,2020-09-09
Mallorca,Llucmajor,Llucmajor Interior,185000,3,157,2,2020-09-09
Mallorca,Villafranca de Bonany,,152000,2,90,1,2020-09-09
Mallorca,Palma de Mallorca,Son Gotleu,190000,3,90,1,2020-09-09
Mallorca,Sa Ràpita,,197000,2,70,2,2020-09-09
Mallorca,Palma de Mallorca,Son Gotleu,136000,2,70,2,2020-09-09
Mallorca,Llucmajor,Llucmajor Interior,189000,2,83,1,2020-09-09
Mallorca,Inca,Son Amonda - Reis Catòlics,184000,2,70,1,2020-09-09
Mallorca,Manacor,Manacor Centro,105000,2,80,1,2020-09-09
Mallorca,Inca,Blanquer,174000,2,90,2,2020-09-09
Mallorca,Palma de Mallorca,Foners,159500,2,62,4,2020-09-09
Mallorca,Cala Ratjada,36,168000,2,85,2,2020-09-09
Mallorca,Andratx,Andratx Pueblo,179000,2,84,1,2020-09-09
Mallorca,Palma de Mallorca,Son Oliva,145000,3,82,1,2020-09-09
