area,address,number,price,date,property_type,full_address,lat,long
Old Quarter,Coopers Grange,18,350001,2019-07-19,New Build,"18 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Carrigrohane,Laurel Wood House,1,760000,2019-07-19,Second-Hand,"1 Laurel Wood House, Carrigrohane",51.89118108080445,-8.570433423222292
Parknamore,Parknamore Rise,21,266200,2019-07-18,Second-Hand,"21 Parknamore Rise, Parknamore",51.88458744794133,-8.609309161051812
Old Quarter,Millers Court,59,406883,2019-07-18,New Build,"59 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Greenfields,Fernwalk,7,630000,2019-07-15,Second-Hand,"7 Fernwalk, Greenfields",51.87941701969475,-8.620193493581136
The Cloisters,The Cloisters,20,280000,2019-07-12,Second-Hand,"20 The Cloisters, The Cloisters",51.88453436126935,-8.578108099687265
Coolroe,The Lawn,35,332000,2019-07-12,Second-Hand,"35 The Lawn, Coolroe",51.885279789132504,-8.622716969745719
Beech Park,Beech Park,98,232000,2019-05-03,Second-Hand,"98 Beech Park, Beech Park",51.884462825784524,-8.586660730369518
An Caislean,An Caislean,70,250000,2019-04-30,Second-Hand,"70 An Caislean, An Caislean",51.88419579207018,-8.604721941977742
Coolroe,The Avenue,12,430000,2019-04-30,New Build,"12 The Avenue, Coolroe",51.885279789132504,-8.622716969745719
Old Quarter,Coopers Grange,23,350000,2019-04-29,New Build,"23 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Beech Park,Cranford Pines,10,300000,2019-04-17,Second-Hand,"10 Cranford Pines, Beech Park",51.884462825784524,-8.586660730369518
Old Quarter,Coopers Grange,24,349999,2019-04-17,New Build,"24 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
The Crescent,The Crescent,71,270000,2019-04-12,Second-Hand,"71 The Crescent, The Crescent",51.88974689003794,-8.592724974545812
Muskerry Estate,Island Way,19,240000,2019-04-05,Second-Hand,"19 Island Way, Muskerry Estate",51.885514844369936,-8.596310161258103
Old Quarter,Coopers Grange,27,397250,2019-04-03,New Build,"27 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Coolroe,The Close,31,360000,2019-11-07,Second-Hand,"31 The Close, Coolroe",51.885279789132504,-8.622716969745719
Powdermills,Longrange,22,245000,2019-11-06,Second-Hand,"22 Longrange, Powdermills",51.89225015549648,-8.586096438526356
Greenfields,Old Court,5,425000,2019-11-04,Second-Hand,"5 Old Court, Greenfields",51.87941701969475,-8.620193493581136
The Maltings,Barley Grove,26,242500,2019-11-04,Second-Hand,"26 Barley Grove, The Maltings",51.88503727921537,-8.591352822622822
Station Road,Tudor Grove,4,250000,2019-11-04,Second-Hand,"4 Tudor Grove, Station Road",51.885856656204545,-8.590996730369481
Greenfield,Greenfield Road,,555000,2019-11-01,Second-Hand," Greenfield Road, Greenfield",51.88072634468435,-8.611355403381312
An Caislean,Caislean Drive,73,280000,2019-10-31,Second-Hand,"73 Caislean Drive, An Caislean",51.88419579207018,-8.604721941977742
Carriganarra,Carriganarra,4,325000,2019-10-30,Second-Hand,"4 Carriganarra, Carriganarra",51.88456579585057,-8.579854607281877
Maglin,Glincool Villas,9,260000,2019-10-29,Second-Hand,"9 Glincool Villas, Maglin",51.88128516801954,-8.59394691502851
Old Quarter,Millers Court,71,420000,2020-07-29,Second-Hand,"71 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Maglin,Glincool Grove,11,273000,2020-07-28,Second-Hand,"11 Glincool Grove, Maglin",51.88128516801954,-8.59394691502851
Hazel Grove,Hazel Grove,3,170000,2020-07-27,Second-Hand,"3 Hazel Grove, Hazel Grove",51.88270220033945,-8.594207045710691
Classis Lake,The Sycamores,35,291000,2020-07-24,Second-Hand,"35 The Sycamores, Classis Lake",51.88586099008718,-8.62822296864587
Greenfield,Greenfield House,1,295000,2020-07-24,Second-Hand,"1 Greenfield House, Greenfield",51.88072634468435,-8.611355403381312
Carriganarra,Carriganarra,,550000,2020-07-15,Second-Hand," Carriganarra, Carriganarra",51.88456579585057,-8.579854607281877
The Maltings,Barley Grove,27,257000,2020-06-24,Second-Hand,"27 Barley Grove, The Maltings",51.88503727921537,-8.591352822622822
Maglin,Maglin Green,6,385000,2020-06-19,New Build,"6 Maglin Green, Maglin",51.88128516801954,-8.59394691502851
Muskerry Estate,Castle Avenue,12,255000,2020-06-12,Second-Hand,"12 Castle Avenue, Muskerry Estate",51.885514844369936,-8.596310161258103
Old Quarter,Coopers Grange,14,409999,2018-12-14,New Build,"14 Coopers Grange, Old Quarter",51.89114003596089,-8.59633561033392
Greystones,Greystones,40,280000,2018-12-14,Second-Hand,"40 Greystones, Greystones",51.88708566318779,-8.572495537963082
Fionn Laoi,Woodview,12,345000,2018-12-12,New Build,"12 Woodview, Fionn Laoi",51.89295672639931,-8.577244778805012
Town Center,Silverwood,2,255000,2018-12-07,Second-Hand,"2 Silverwood, Town Center",51.8878563321983,-8.600737381727024
Old Quarter,Millers Court,46,410000,2018-12-05,Second-Hand,"46 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,22,355000,2018-12-05,Second-Hand,"22 Millers Court, Old Quarter",51.89114003596089,-8.59633561033392
Muskerry Estate,Cherry Walk,37,258000,2018-12-05,Second-Hand,"37 Cherry Walk, Muskerry Estate",51.885514844369936,-8.596310161258103
Powdermills,Powdermill Meadows,4,335000,2018-12-04,New Build,"4 Powdermill Meadows, Powdermills",51.89225015549648,-8.586096438526356
