area,address,full_address,number,price_sold,date,matcher,year,annual_average_price_difference,lat,long
Old Quarter,Coopers Grange,"24 Coopers Grange, Old Quarter",24,349999,2019-04-17,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
The Crescent,The Crescent,"71 The Crescent, The Crescent",71,270000,2019-04-12,Crescent,2019,,51.88974689003794,-8.592724974545812
Muskerry Estate,Island Way,"19 Island Way, Muskerry Estate",19,240000,2019-04-05,Island,2019,-0.03571428571428571,51.885514844369936,-8.596310161258103
Old Quarter,Coopers Grange,"27 Coopers Grange, Old Quarter",27,397250,2019-04-03,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Westcourt,Westcourt Heights,"14 Westcourt Heights, Westcourt",14,245000,2019-03-29,Westcourt,2019,,51.88681255417706,-8.616295628522487
Wyndham Downs,Wyndham Downs,"30 Wyndham Downs, Wyndham Downs",30,325000,2019-10-02,Wyndham,2019,0.0,51.88594295587414,-8.620296147557605
Old Quarter,The Cresent,"7 The Cresent, Old Quarter",7,370000,2019-10-02,Cresent,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Old Quarter,Coopers Grange Old Quarter,"74 Coopers Grange Old Quarter, Old Quarter",74,315000,2019-09-30,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Greenfields,Fernwalk,"70 Fernwalk, Greenfields",70,580000,2019-09-27,Fernwalk,2019,,51.87941701969475,-8.620193493581136
Castlepark,Castlepark,"70 Castlepark, Castlepark",70,185000,2019-09-25,Castlepark,2019,,51.88653927567583,-8.585310716875346
Old Quarter,Millers Court,"13 Millers Court, Old Quarter",13,275000,2020-02-24,Millers,2020,,51.89114003596089,-8.59633561033392
Old Quarter,Coopers Grange,"6 Coopers Grange, Old Quarter",6,456525,2020-02-21,Coopers,2020,,51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,"60 Millers Court, Old Quarter",60,400000,2020-02-18,Millers,2020,,51.89114003596089,-8.59633561033392
Westgrove,Westgrove,"26 Westgrove, Westgrove",26,205666,2020-02-14,Westgrove,2020,,51.88676931020199,-8.6146432996872
Coolroe,The Stables,"17 The Stables, Coolroe",17,352000,2020-02-10,Stables,2020,,51.885279789132504,-8.622716969745719
Aylsbury,Aylsbury,"39 Aylsbury, Aylsbury",39,300000,2020-02-10,Aylsbury,2020,0.0,51.88284449037205,-8.620440916875388
Heathfield,The Avenue,"10 The Avenue, Heathfield",10,325000,2020-02-06,Avenue,2020,,51.88275370396547,-8.57522707085204
Leesdale Court,Leesdale Court,"16 Leesdale Court, Leesdale Court",16,294000,2020-02-06,Leesdale,2020,,51.89042385266594,-8.583049957357712
An Caislean,Tara An Caisleain,"1 Tara An Caisleain, An Caislean",1,207000,2020-02-05,Tara,2020,-0.048583530697759156,51.88419579207018,-8.604721941977742
The Maltings,Granary Court The Maltings,"28 Granary Court The Maltings, The Maltings",28,210000,2020-09-28,Granary,2020,-0.009633911368015413,51.88503727921537,-8.591352822622822
Town Center,Church View,"21 Church View, Town Center",21,280000,2020-09-24,Church,2020,0.07692307692307693,51.8878563321983,-8.600737381727024
Innishmore,Innishmore Lawn,"5 Innishmore Lawn, Innishmore",5,175000,2020-09-18,Innishmore,2020,,51.88897474404985,-8.608958999892096
Daffodil Fields,Daffodil Fields,"29 Daffodil Fields, Daffodil Fields",29,430000,2020-09-10,Daffodil,2020,,51.89114262893351,-8.573402430369397
Carrigrohanebeg,Cedardale,"105 Cedardale, Carrigrohanebeg",105,245000,2020-09-04,Cedardale,2020,-0.042126929674099485,51.89309917070151,-8.580849757357647
Rosewood,Rosewood Estate,"44 Rosewood Estate, Rosewood",44,224000,2020-09-04,Rosewood,2020,-0.017543859649122806,51.88865181082447,-8.575978970851866
The Crescent,The Crescent,"37 The Crescent, The Crescent",37,256000,2019-01-29,Crescent,2019,,51.88974689003794,-8.592724974545812
The Crescent,The Crescent,"17 The Crescent, The Crescent",17,275000,2019-01-28,Crescent,2019,,51.88974689003794,-8.592724974545812
Westcourt,Westcourt Heights,"6 Westcourt Heights, Westcourt",6,150000,2019-01-25,Westcourt,2019,,51.88681255417706,-8.616295628522487
Fionn Laoi,Woodview,"10 Woodview, Fionn Laoi",10,340000,2019-01-21,Woodview,2019,,51.89295672639931,-8.577244778805012
Town Center,Leo Murphy Terrace,"5a Leo Murphy Terrace, Town Center",5a,196000,2019-01-18,Leo,2019,,51.8878563321983,-8.600737381727024
Maglin,Maglin View,"8 Maglin View, Maglin",8,336000,2019-01-16,Maglin,2019,,51.88135112776452,-8.59523805920491
Old Quarter,Leslies Arch,"35 Leslies Arch, Old Quarter",35,350000,2019-01-16,Leslies,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
The Maltings,Distillery Court,"37 Distillery Court, The Maltings",37,230000,2019-01-15,Distillery,2019,,51.88503727921537,-8.591352822622822
Classis Lake,Mossgrove,"13 Mossgrove, Classis Lake",13,428500,2019-01-11,Mossgrove,2019,,51.88586099008718,-8.62822296864587
Old Quarter,Coopers Grange,"26 Coopers Grange, Old Quarter",26,350000,2019-01-09,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Old Quarter,Leslies Arch,"131 Leslies Arch, Old Quarter",131,340000,2019-01-07,Leslies,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Highfield,Highfield Park,"12 Highfield Park, Highfield",12,310000,2020-12-18,Highfield,2020,,51.88483134751023,-8.573114016875365
Heathfield,The Avenue,"35 The Avenue, Heathfield",35,379999,2020-12-15,Avenue,2020,,51.88275370396547,-8.57522707085204
Old Quarter,Coopers Grange,"108 Coopers Grange, Old Quarter",108,520000,2020-12-14,Coopers,2020,,51.89114003596089,-8.59633561033392
Rosewood,Rosewood Estate,"114 Rosewood Estate, Rosewood",114,280000,2020-12-14,Rosewood,2020,-0.017543859649122806,51.88865181082447,-8.575978970851866
Greystones,Greystones,"21 Greystones, Greystones",21,262000,2020-12-09,Greystones,2020,,51.88708566318779,-8.572495537963082
Town Center,Station Road," Station Road, Town Center",,310000,2020-12-09,Station,2020,0.07692307692307693,51.8878563321983,-8.600737381727024
Daffodil Fields,Daffodil Fields,"45 Daffodil Fields, Daffodil Fields",45,373000,2020-12-09,Daffodil,2020,,51.89114262893351,-8.573402430369397
The Maltings,Distillery Court,"35 Distillery Court, The Maltings",35,205000,2020-12-07,Distillery,2020,-0.009633911368015413,51.88503727921537,-8.591352822622822
Heathfield,The Avenue,"32 The Avenue, Heathfield",32,380000,2020-12-04,Avenue,2020,,51.88275370396547,-8.57522707085204
Old Quarter,The Cresent Old Fort Road,"16 The Cresent Old Fort Road, Old Quarter",16,260000,2020-12-03,Cresent,2020,,51.89114003596089,-8.59633561033392
An Caislean,Caislean View,"158 Caislean View, An Caislean",158,282000,2021-07-16,Caislean,2021,0.02177407726529392,51.88419579207018,-8.604721941977742
Parknamore,Parknamore Rise,"10 Parknamore Rise, Parknamore",10,320000,2021-07-15,Parknamore,2021,0.12280701754385964,51.88458744794133,-8.609309161051812
Old Quarter,Millers Court,"24 Millers Court, Old Quarter",24,463000,2021-07-13,Millers,2021,-0.012382731423827315,51.89114003596089,-8.59633561033392
The Stables,The Stables,"23 The Stables, The Stables",23,252500,2021-07-13,Stables,2021,,51.88380436406558,-8.622683203381243
The Cloisters,The Cloisters,"63 The Cloisters, The Cloisters",63,330000,2021-07-08,Cloisters,2021,0.015384615384615385,51.88453436126935,-8.578108099687265
Old Quarter,Leslies Arch,"13 Leslies Arch, Old Quarter",13,425000,2021-07-06,Leslies,2021,-0.012382731423827315,51.89114003596089,-8.59633561033392
Tudor Grove,Tudor Grove,"8 Tudor Grove, Tudor Grove",8,245000,2021-07-05,Tudor,2021,,51.88555121291465,-8.591538215028342
Greenfield,Tuairin Glas,"48 Tuairin Glas, Greenfield",48,250000,2018-11-01,Tuairin,2018,,51.88072634468435,-8.611355403381312
Highfield,Highfield Park,"31 Highfield Park, Highfield",31,230000,2018-10-31,Highfield,2018,,51.88483134751023,-8.573114016875365
Old Quarter,Millers Court,"57 Millers Court, Old Quarter",57,345000,2018-10-31,Millers,2018,,51.89114003596089,-8.59633561033392
Powdermills,Powdermill Meadow,"1 Powdermill Meadow, Powdermills",1,430000,2018-10-26,Powdermill,2018,,51.89225015549648,-8.586096438526356
Inniscarra View,Whitethorn Drive,"19 Whitethorn Drive, Inniscarra View",19,290000,2018-10-25,Whitethorn,2018,,51.88901621244116,-8.572065214668026
Maglin,Glincool Crescent,"2 Glincool Crescent, Maglin",2,376000,2018-10-22,Glincool,2018,-0.06349206349206349,51.88135112776452,-8.59523805920491
Old Quarter,Leslies Arch,"79 Leslies Arch, Old Quarter",79,375000,2018-10-19,Leslies,2018,,51.89114003596089,-8.59633561033392
Coolroe,The Avenue,"11 The Avenue, Coolroe",11,425000,2018-10-17,Avenue,2018,,51.885279789132504,-8.622716969745719
Powdermills,Powdermill Meadows,"2 Powdermill Meadows, Powdermills",2,337500,2018-10-17,Powdermill,2018,,51.89225015549648,-8.586096438526356
Powdermills,Powdermill Meadow,"3 Powdermill Meadow, Powdermills",3,337500,2018-10-17,Powdermill,2018,,51.89225015549648,-8.586096438526356
Old Quarter,Coopers Grange,"33 Coopers Grange, Old Quarter",33,329999,2019-03-29,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Greenfields,Woodberry,"3 Woodberry, Greenfields",3,690000,2019-03-28,Woodberry,2019,,51.87941701969475,-8.620193493581136
Coolroe,Coolroe Heights,"14 Coolroe Heights, Coolroe",14,315000,2019-03-28,Coolroe,2019,-0.013882762939366715,51.885279789132504,-8.622716969745719
Station Road,Tudor Grove,"10 Tudor Grove, Station Road",10,260000,2019-03-27,Tudor,2019,,51.885856656204545,-8.590996730369481
The Cloisters,A Brompton House," A Brompton House, The Cloisters",,101579,2019-03-20,Brompton,2019,0.0034090909090909102,51.88453436126935,-8.578108099687265
Town Center,Block 3 Tus Abhaile,"4 Block 3 Tus Abhaile, Town Center",4,208000,2019-03-18,Block,2019,,51.8878563321983,-8.600737381727024
Westcourt,Westcourt Heights,"63 Westcourt Heights, Westcourt",63,213000,2019-03-15,Westcourt,2019,,51.88681255417706,-8.616295628522487
Old Quarter,Waltham Abbey,"6 Waltham Abbey, Old Quarter",6,600000,2019-03-15,Waltham,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Town Center,Poulavone," Poulavone, Town Center",,325000,2019-03-15,Poulavone,2019,,51.8878563321983,-8.600737381727024
Coolroe,The Avenue,"8 The Avenue, Coolroe",8,266000,2019-03-15,Avenue,2019,-0.013882762939366715,51.885279789132504,-8.622716969745719
Old Quarter,Waltham Abbey,"28 Waltham Abbey, Old Quarter",28,339200,2019-09-23,Waltham,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Greenfields,Fernwalk,"45 Fernwalk, Greenfields",45,169000,2019-09-23,Fernwalk,2019,,51.87941701969475,-8.620193493581136
Old Quarter,Leslies Arch,"148 Leslies Arch, Old Quarter",148,315000,2019-09-23,Leslies,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Greenfield,Oldcourt,"72 Oldcourt, Greenfield",72,355000,2019-09-20,Oldcourt,2019,,51.88072634468435,-8.611355403381312
Rosewood,Rosewood,"8 Rosewood, Rosewood",8,306000,2019-09-13,Rosewood,2019,-0.04375,51.88865181082447,-8.575978970851866
Carrigrohanebeg,The Willows,"200 The Willows, Carrigrohanebeg",200,245000,2019-09-10,Willows,2019,0.002,51.89309917070151,-8.580849757357647
Greenfield,Oldcourt,"16 Oldcourt, Greenfield",16,430000,2019-09-05,Oldcourt,2019,,51.88072634468435,-8.611355403381312
Old Quarter,Coopers Grange,"22 Coopers Grange, Old Quarter",22,397250,2019-09-03,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Maglin,Maglin Green,"1 Maglin Green, Maglin",1,475000,2020-02-04,Maglin,2020,-0.07096774193548387,51.88135112776452,-8.59523805920491
An Caislean,An Caislean,"191 An Caislean, An Caislean",191,255000,2020-02-03,Caislean,2020,-0.048583530697759156,51.88419579207018,-8.604721941977742
Old Quarter,Coopers Grange,"14 Coopers Grange, Old Quarter",14,415000,2020-01-30,Coopers,2020,,51.89114003596089,-8.59633561033392
The Crescent,The Crescent,"23 The Crescent, The Crescent",23,323000,2020-01-30,Crescent,2020,,51.88974689003794,-8.592724974545812
Old Quarter,Leslies Arch,"30 Leslies Arch, Old Quarter",30,372500,2020-01-30,Leslies,2020,,51.89114003596089,-8.59633561033392
Coolroe,The Close,"40 The Close, Coolroe",40,305000,2020-01-21,Close,2020,,51.885279789132504,-8.622716969745719
Rosewood,Rosewood Estate,"118 Rosewood Estate, Rosewood",118,292500,2020-01-20,Rosewood,2020,-0.017543859649122806,51.88865181082447,-8.575978970851866
Church View,Churchview,"7 Churchview, Church View",7,240000,2020-01-17,Churchview,2020,,51.88549636879165,-8.592625889887055
Aylsbury,Aylsbury,"41 Aylsbury, Aylsbury",41,295000,2020-09-03,Aylsbury,2020,0.0,51.88284449037205,-8.620440916875388
Beech Park,Beech Park,"48 Beech Park, Beech Park",48,223000,2020-09-01,Beech,2020,0.025829808005206636,51.884462825784524,-8.586660730369518
The Maltings,Barley Court,"12 Barley Court, The Maltings",12,190000,2020-08-20,Barley,2020,-0.009633911368015413,51.88503727921537,-8.591352822622822
Glendower Court,Glendower Court,"11 Glendower Court, Glendower Court",11,300000,2020-08-19,Glendower,2020,,51.89097713659068,-8.579260601534097
Old Quarter,Millers Court,"70 Millers Court, Old Quarter",70,420000,2020-08-13,Millers,2020,,51.89114003596089,-8.59633561033392
An Caislean,Newgrange,"1 Newgrange, An Caislean",1,213000,2020-08-11,Newgrange,2020,-0.048583530697759156,51.88419579207018,-8.604721941977742
Shalimar Court,Shalimar Court,"5 Shalimar Court, Shalimar Court",5,250000,2020-07-31,Shalimar,2020,,51.88896130535807,-8.578969730369383
Inniscarra View,Woodbine Lawn,"15 Woodbine Lawn, Inniscarra View",15,287500,2020-07-29,Woodbine,2020,,51.88901621244116,-8.572065214668026
Old Quarter,Coopers Grange,"25 Coopers Grange, Old Quarter",25,350000,2019-01-04,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Coolroe,Old Quarry,"18 Old Quarry, Coolroe",18,226000,2018-12-21,Old,2018,,51.885279789132504,-8.622716969745719
Classis Lake,The Abbey,"29 The Abbey, Classis Lake",29,205000,2018-12-21,Abbey,2018,,51.88586099008718,-8.62822296864587
Old Quarter,Leslies Arch,"33 Leslies Arch, Old Quarter",33,412800,2018-12-21,Leslies,2018,,51.89114003596089,-8.59633561033392
Highfield Park,The Square,"30 The Square, Highfield Park",30,250000,2018-12-21,Square,2018,,51.88438631124541,-8.574891410855766
An Caislean,An Caislean,"186 An Caislean, An Caislean",186,270000,2018-12-19,Caislean,2018,,51.88419579207018,-8.604721941977742
Willow Grove,Willow Grove,"26 Willow Grove, Willow Grove",26,420000,2018-12-19,Willow,2018,,51.882509982430086,-8.612375401534269
Maglin,Glincool Villas,"2 Glincool Villas, Maglin",2,285000,2020-12-02,Glincool,2020,-0.07096774193548387,51.88135112776452,-8.59523805920491
Old Quarter,Coopers Grange,"1 Coopers Grange, Old Quarter",1,499999,2020-12-01,Coopers,2020,,51.89114003596089,-8.59633561033392
Old Quarter,Leslies Arch,"107 Leslies Arch, Old Quarter",107,326000,2020-12-01,Leslies,2020,,51.89114003596089,-8.59633561033392
Greenfields,Tuain Glas,"46 Tuain Glas, Greenfields",46,225000,2020-11-27,Tuain,2020,,51.87941701969475,-8.620193493581136
An Caislean,An Caislean,"60 An Caislean, An Caislean",60,255600,2020-11-26,Caislean,2020,-0.048583530697759156,51.88419579207018,-8.604721941977742
Carrigrohanebeg,The Willows,"182 The Willows, Carrigrohanebeg",182,268000,2020-11-19,Willows,2020,-0.042126929674099485,51.89309917070151,-8.580849757357647
Old Quarter,Millers Court,"82 Millers Court, Old Quarter",82,375000,2020-11-17,Millers,2020,,51.89114003596089,-8.59633561033392
Beech Park,Cranford Pines,"27 Cranford Pines, Beech Park",27,290000,2020-11-13,Cranford,2020,0.025829808005206636,51.884462825784524,-8.586660730369518
Greystones,Greystones,"48 Greystones, Greystones",48,285000,2020-11-12,Greystones,2020,,51.88708566318779,-8.572495537963082
Town Center,Church View,"57 Church View, Town Center",57,321000,2021-07-02,Church,2021,0.08813559322033898,51.8878563321983,-8.600737381727024
Leecourt,Leecourt,"132 Leecourt, Leecourt",132,231000,2021-07-01,Leecourt,2021,,51.8915162277775,-8.581342570851831
An Caislean,Newgrange,"8 Newgrange, An Caislean",8,222000,2021-06-25,Newgrange,2021,0.02177407726529392,51.88419579207018,-8.604721941977742
Classis Lake,The Brambles,"7 The Brambles, Classis Lake",7,400000,2021-06-16,Brambles,2021,,51.88586099008718,-8.62822296864587
Coolroe,Willowgrove,"48 Willowgrove, Coolroe",48,340000,2021-06-11,Willowgrove,2021,-0.04406779661016949,51.885279789132504,-8.622716969745719
Greenfields,Woodberry,"11 Woodberry, Greenfields",11,755000,2021-06-04,Woodberry,2021,,51.87941701969475,-8.620193493581136
Old Quarter,Coopers Grange,"69 Coopers Grange, Old Quarter",69,340000,2021-06-03,Coopers,2021,-0.012382731423827315,51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,"106 Millers Court, Old Quarter",106,640000,2021-05-31,Millers,2021,-0.012382731423827315,51.89114003596089,-8.59633561033392
Castleknock,Castleknock,"16 Castleknock, Castleknock",16,330000,2021-05-28,Castleknock,2021,,51.88198791175574,-8.595112470852024
An Caislean,Kells,"10 Kells, An Caislean",10,212000,2021-05-28,Kells,2021,0.02177407726529392,51.88419579207018,-8.604721941977742
An Caislean,Newgrange,"21 Newgrange, An Caislean",21,267000,2021-05-26,Newgrange,2021,0.02177407726529392,51.88419579207018,-8.604721941977742
Old Quarter,Millers Court,"56 Millers Court, Old Quarter",56,345000,2018-10-16,Millers,2018,,51.89114003596089,-8.59633561033392
Old Quarter,Millers Court,"58 Millers Court, Old Quarter",58,345000,2018-10-16,Millers,2018,,51.89114003596089,-8.59633561033392
Classis Lake,The Cedars,"29 The Cedars, Classis Lake",29,357000,2018-10-15,Cedars,2018,,51.88586099008718,-8.62822296864587
Carrigrohane,Bridgewater,"16 Bridgewater, Carrigrohane",16,435000,2018-10-11,Bridgewater,2018,,51.89118108080445,-8.570433423222292
Old Quarter,Millers Court,"108 Millers Court, Old Quarter",108,460000,2018-09-27,Millers,2018,,51.89114003596089,-8.59633561033392
Maglin,Glencool Villas,"11 Glencool Villas, Maglin",11,304000,2018-09-27,Glencool,2018,-0.06349206349206349,51.88135112776452,-8.59523805920491
Coolroe,The Green,"61 The Green, Coolroe",61,111500,2018-09-26,Green,2018,,51.885279789132504,-8.622716969745719
Old Quarter,Coopers Grange Old Quarter,"58 Coopers Grange Old Quarter, Old Quarter",58,267000,2018-09-25,Coopers,2018,,51.89114003596089,-8.59633561033392
Beech Park,Beech Park,"67 Beech Park, Beech Park",67,340000,2018-09-18,Beech,2018,,51.884462825784524,-8.586660730369518
Old Quarter,Millers Court,"107 Millers Court, Old Quarter",107,465000,2018-09-18,Millers,2018,,51.89114003596089,-8.59633561033392
Inniscarra View,Hawthorn Avenue,"13 Hawthorn Avenue, Inniscarra View",13,257000,2018-09-18,Hawthorn,2018,,51.88901621244116,-8.572065214668026
Classis Lake,The Oaks,"12 The Oaks, Classis Lake",12,368000,2019-03-14,Oaks,2019,,51.88586099008718,-8.62822296864587
Old Quarter,Leslies Arch,"147 Leslies Arch, Old Quarter",147,260000,2019-03-14,Leslies,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Town Center,Church View,"65 Church View, Town Center",65,227500,2019-03-12,Church,2019,,51.8878563321983,-8.600737381727024
Avoncourt,Avoncourt,"13 Avoncourt, Avoncourt",13,330000,2019-03-11,Avoncourt,2019,,51.88515208061713,-8.612719189887075
Old Quarter,Coopers Grange,"32b Coopers Grange, Old Quarter",32b,255000,2019-03-11,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Muskerry Estate,Holly Road,"19 Holly Road, Muskerry Estate",19,290000,2019-03-11,Holly,2019,-0.03571428571428571,51.885514844369936,-8.596310161258103
Old Quarter,Coopers Grange,"32a Coopers Grange, Old Quarter",32a,255000,2019-03-08,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
An Caislean,Tara,"19 Tara, An Caislean",19,230000,2019-03-08,Tara,2019,-0.024255374255374256,51.88419579207018,-8.604721941977742
Old Quarter,Coopers Grange,"31 Coopers Grange, Old Quarter",31,336683,2019-03-06,Coopers,2019,-0.0014441606686788969,51.89114003596089,-8.59633561033392
Classis Lake,Lisheen Fields,"18 Lisheen Fields, Classis Lake",18,390000,2019-08-29,Lisheen,2019,,51.88586099008718,-8.62822296864587
An Caislean,An Caislean,"182 An Caislean, An Caislean",182,262500,2019-08-28,Caislean,2019,-0.024255374255374256,51.88419579207018,-8.604721941977742
The Crescent,The Crescent Heathfield,"2 The Crescent Heathfield, The Crescent",2,320000,2019-08-27,Crescent,2019,,51.88974689003794,-8.592724974545812
Hazel Grove,Hazel Grove,"14 Hazel Grove, Hazel Grove",14,192500,2019-08-21,Hazel,2019,,51.88270220033945,-8.594207045710691
Carrigrohanebeg,The Willows,"208 The Willows, Carrigrohanebeg",208,256000,2019-08-16,Willows,2019,0.002,51.89309917070151,-8.580849757357647
The Cloisters,The Cloisters,"102 The Cloisters, The Cloisters",102,287000,2019-08-14,Cloisters,2019,0.0034090909090909102,51.88453436126935,-8.578108099687265
Aylsbury,Aylsbury Lawn,"4 Aylsbury Lawn, Aylsbury",4,360000,2019-08-12,Aylsbury,2019,-0.06493506493506493,51.88284449037205,-8.620440916875388
Greenfield,Oldcourt,"94 Oldcourt, Greenfield",94,370000,2019-08-12,Oldcourt,2019,,51.88072634468435,-8.611355403381312
Station Cross,Station Cross," Station Cross, Station Cross",,300000,2019-08-12,Station,2019,,51.88366424957323,-8.588997728522568
Coolroe,Willowgrove,"2 Willowgrove, Coolroe",2,400000,2019-08-09,Willowgrove,2019,-0.013882762939366715,51.885279789132504,-8.622716969745719
Old Quarter,Leslies Arch,"91 Leslies Arch, Old Quarter",91,330500,2020-01-15,Leslies,2020,,51.89114003596089,-8.59633561033392
Old Quarter,Leslies Arch,"73 Leslies Arch, Old Quarter",73,390000,2020-01-14,Leslies,2020,,51.89114003596089,-8.59633561033392
Westcourt,Westcourt Heights,"92 Westcourt Heights, Westcourt",92,300000,2020-01-08,Westcourt,2020,,51.88681255417706,-8.616295628522487
Classis Lake,The Sycamores,"10 The Sycamores, Classis Lake",10,260000,2020-01-06,Sycamores,2020,,51.88586099008718,-8.62822296864587
Coolroe,The Vale,"7 The Vale, Coolroe",7,488000,2019-12-20,Vale,2019,-0.013882762939366715,51.885279789132504,-8.622716969745719
Town Center,Time Square,"12b Time Square, Town Center",12b,140000,2019-12-19,Time,2019,,51.8878563321983,-8.600737381727024
Old Quarter,Millers Court,"71 Millers Court, Old Quarter",71,420000,2020-07-29,Millers,2020,,51.89114003596089,-8.59633561033392
Maglin,Glincool Grove,"11 Glincool Grove, Maglin",11,273000,2020-07-28,Glincool,2020,-0.07096774193548387,51.88135112776452,-8.59523805920491
Hazel Grove,Hazel Grove,"3 Hazel Grove, Hazel Grove",3,170000,2020-07-27,Hazel,2020,,51.88270220033945,-8.594207045710691
Classis Lake,The Sycamores,"35 The Sycamores, Classis Lake",35,291000,2020-07-24,Sycamores,2020,,51.88586099008718,-8.62822296864587
Greenfield,Greenfield House,"1 Greenfield House, Greenfield",1,295000,2020-07-24,Greenfield,2020,,51.88072634468435,-8.611355403381312
Carriganarra,Carriganarra," Carriganarra, Carriganarra",,550000,2020-07-15,Carriganarra,2020,,51.88456579585057,-8.579854607281877
The Maltings,Barley Grove,"27 Barley Grove, The Maltings",27,257000,2020-06-24,Barley,2020,-0.009633911368015413,51.88503727921537,-8.591352822622822
Maglin,Maglin Green,"6 Maglin Green, Maglin",6,385000,2020-06-19,Maglin,2020,-0.07096774193548387,51.88135112776452,-8.59523805920491
Old Quarter,Coopers Grange,"72 Coopers Grange, Old Quarter",72,262000,2018-12-19,Coopers,2018,,51.89114003596089,-8.59633561033392
Fionn Laoi,Woodview,"11 Woodview, Fionn Laoi",11,340000,2018-12-18,Woodview,2018,,51.89295672639931,-8.577244778805012
Old Quarter,Coopers Grange,"28 Coopers Grange, Old Quarter",28,355000,2018-12-18,Coopers,2018,,51.89114003596089,-8.59633561033392
Coolroe,Willow Grove,"55 Willow Grove, Coolroe",55,310000,2018-12-18,Willow,2018,,51.885279789132504,-8.622716969745719
Westcourt,Westcourt Heights,"41 Westcourt Heights, Westcourt",41,292500,2018-12-18,Westcourt,2018,,51.88681255417706,-8.616295628522487
Coolroe,Willow Grove,"4 Willow Grove, Coolroe",4,310000,2018-12-17,Willow,2018,,51.885279789132504,-8.622716969745719
An Caislean,An Caislean Way,"135 An Caislean Way, An Caislean",135,320000,2018-12-14,Caislean,2018,,51.88419579207018,-8.604721941977742
Old Quarter,Coopers Grange,"14 Coopers Grange, Old Quarter",14,409999,2018-12-14,Coopers,2018,,51.89114003596089,-8.59633561033392
Greystones,Greystones,"40 Greystones, Greystones",40,280000,2018-12-14,Greystones,2018,,51.88708566318779,-8.572495537963082
Fionn Laoi,Woodview,"12 Woodview, Fionn Laoi",12,345000,2018-12-12,Woodview,2018,,51.89295672639931,-8.577244778805012
Town Center,Silverwood,"2 Silverwood, Town Center",2,255000,2018-12-07,Silverwood,2018,,51.8878563321983,-8.600737381727024
Heathfield,The Avenue,"31 The Avenue, Heathfield",31,379999,2020-11-09,Avenue,2020,,51.88275370396547,-8.57522707085204
Maglin,Maglin Drive,"6 Maglin Drive, Maglin",6,400000,2020-11-06,Maglin,2020,-0.07096774193548387,51.88135112776452,-8.59523805920491
Old Quarter,Coopers Grange,"8 Coopers Grange, Old Quarter",8,452925,2020-11-05,Coopers,2020,,51.89114003596089,-8.59633561033392
Beech Park,Beech Park,"91 Beech Park, Beech Park",91,245000,2020-10-23,Beech,2020,0.025829808005206636,51.884462825784524,-8.586660730369518
Maglin,Maglin Green,"12 Maglin Green, Maglin",12,395000,2020-10-22,Maglin,2020,-0.07096774193548387,51.88135112776452,-8.59523805920491
Old Quarter,Leslies Arch,"41 Leslies Arch, Old Quarter",41,252500,2020-10-22,Leslies,2020,,51.89114003596089,-8.59633561033392
Heathfield,The Avenue Heathfield,"52 The Avenue Heathfield, Heathfield",52,385000,2021-05-26,Avenue,2021,,51.88275370396547,-8.57522707085204
Maglin,Maglin Green,"14 Maglin Green, Maglin",14,650000,2021-05-26,Maglin,2021,-0.03883374689826303,51.88135112776452,-8.59523805920491
Town Center,Chapel Lane Row,"2a Chapel Lane Row, Town Center",2a,450000,2021-05-25,Chapel,2021,0.08813559322033898,51.8878563321983,-8.600737381727024
Old Quarter,Coopers Grange,"107 Coopers Grange, Old Quarter",107,520000,2021-05-24,Coopers,2021,-0.012382731423827315,51.89114003596089,-8.59633561033392
Heathfield,The Avenue,"49 The Avenue, Heathfield",49,385000,2021-05-20,Avenue,2021,,51.88275370396547,-8.57522707085204
Coolroe,Willow Grove,"47 Willow Grove, Coolroe",47,318000,2021-05-14,Willow,2021,-0.04406779661016949,51.885279789132504,-8.622716969745719
Carrigrohanebeg,The Willows,"199 The Willows, Carrigrohanebeg",199,261500,2021-05-07,Willows,2021,,51.89309917070151,-8.580849757357647
An Caislean,An Caislean Heights,"157 An Caislean Heights, An Caislean",157,200000,2021-04-29,Caislean,2021,0.02177407726529392,51.88419579207018,-8.604721941977742
