date,daily_cases,country
"25 May
,0
,2
,0
,11
,0
,67
,3
,0
,13
,2
,1
,0
,2
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,-1
,0
,
,
",59,Ireland
"26 May
,2
,4
,0
,7
,-1
,35
,9
,0
,6
,1
,0
,1
,2
,0
,0
,1
,-4
,1
,-1
,1
,0
,0
,0
,1
,0
,0
,
,
",37,Ireland
"27 May
,1
,0
,0
,6
,0
,27
,3
,0
,2
,0
,0
,0
,1
,-1
,0
,0
,0
,0
,0
,0
,0
,0
,1
,2
,0
,0
,
,
",73,Ireland
"28 May
,3
,0
,1
,8
,0
,8
,0
,0
,0
,0
,0
,0
,1
,1
,4
,2
,2
,3
,0
,1
,0
,-1
,0
,0
,0
,0
,
,
",46,Ireland
"29 May
,8
,1
,0
,5
,0
,11
,2
,0
,0
,1
,1
,0
,1
,2
,3
,0
,2
,2
,0
,12
,0
,2
,0
,1
,0
,0
,
,
",39,Ireland
"30 May
,0
,5
,37
,37
,0
,10
,2
,0
,1
,0
,0
,0
,-35
,0
,2
,0
,-1
,0
,0
,0
,0
,1
,1
,1
,0
,0
,
,
",59,Ireland
"31 May
,0
,5
,8
,3
,0
,38
,2
,0
,2
,0
,0
,0
,-13
,0
,8
,-1
,4
,3
,0
,2
,0
,8
,0
,1
,-3
,4
,
,
",66,Ireland
"1 Jun
,0
,0
,1
,0
,0
,3
,0
,0
,0
,1
,1
,0
,1
,0
,-1
,0
,1
,0
,0
,1
,0
,1
,-1
,0
,0
,0
,
,
",77,Ireland
"2 Jun
,3
,2
,0
,4
,0
,16
,-1
,0
,0
,0
,0
,0
,0
,1
,1
,0
,1
,9
,1
,1
,0
,1
,0
,0
,0
,1
,
,
",10,Ireland
"3 Jun
,0
,8
,0
,6
,-5
,9
,0
,0
,0
,1
,0
,0
,0
,0
,1
,0
,2
,6
,0
,0
,0
,0
,2
,1
,0
,0
,
,
",47,Ireland
"4 Jun
,-1
,4
,-1
,1
,0
,9
,0
,0
,4
,4
,1
,1
,0
,0
,0
,0
,1
,1
,0
,0
,-1
,0
,0
,0
,1
,0
,
,
",38,Ireland
"5 Jun
,0
,0
,0
,1
,-1
,12
,0
,0
,0
,0
,1
,0
,0
,1
,0
,0
,1
,0
,0
,0
,0
,0
,0
,0
,0
,2
,
,
",28,Ireland
"6 Jun
,0
,0
,0
,0
,0
,19
,0
,0
,0
,1
,0
,0
,1
,0
,-1
,0
,-2
,2
,0
,0
,0
,0
,0
,0
,2
,0
,
,
",24,Ireland
"7 Jun
,-1
,0
,0
,0
,0
,1
,2
,0
,1
,0
,0
,0
,0
,0
,2
,0
,0
,1
,1
,1
,0
,0
,0
,0
,0
,0
,
,
",25,Ireland
