dateRep,cases,deaths,country,median_age,gdp_per_capita,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,testing_rate,positivity_rate,Population
14/07/2020,299,5,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
13/07/2020,370,3,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
12/07/2020,305,6,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
11/07/2020,265,11,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
10/07/2020,262,9,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
09/07/2020,277,14,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
08/07/2020,257,7,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
07/07/2020,205,4,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
06/07/2020,231,5,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
05/07/2020,314,5,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
04/07/2020,259,15,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
03/07/2020,371,15,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
02/07/2020,382,14,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
01/07/2020,239,19,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
30/06/2020,247,6,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
29/06/2020,193,3,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
28/06/2020,319,6,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
27/06/2020,276,17,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
26/06/2020,298,16,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
25/06/2020,294,21,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
24/06/2020,300,16,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
23/06/2020,296,3,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
22/06/2020,311,10,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
21/06/2020,304,12,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
20/06/2020,301,18,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
19/06/2020,314,30,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
18/06/2020,506,14,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
17/06/2020,407,16,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
16/06/2020,396,9,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
15/06/2020,375,10,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
14/06/2020,440,15,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
13/06/2020,376,7,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
12/06/2020,444,9,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
11/06/2020,197,23,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
10/06/2020,400,17,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
09/06/2020,599,9,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
08/06/2020,575,4,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
07/06/2020,567,16,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
06/06/2020,371,20,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
05/06/2020,361,2,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
04/06/2020,292,23,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
03/06/2020,230,18,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
02/06/2020,379,10,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
01/06/2020,215,3,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
31/05/2020,416,10,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
30/05/2020,330,13,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
29/05/2020,352,10,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
28/05/2020,399,4,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
27/05/2020,443,17,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
26/05/2020,305,11,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
25/05/2020,395,3,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
24/05/2020,312,11,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
23/05/2020,476,10,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
22/05/2020,404,10,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
21/05/2020,471,14,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
20/05/2020,383,12,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
19/05/2020,356,11,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
18/05/2020,272,10,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
17/05/2020,241,8,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
16/05/2020,401,24,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
15/05/2020,411,22,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
14/05/2020,283,22,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
13/05/2020,595,28,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
12/05/2020,330,11,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
11/05/2020,345,15,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
10/05/2020,285,9,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
09/05/2020,319,21,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
08/05/2020,307,22,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
07/05/2020,309,17,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
06/05/2020,425,18,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
05/05/2020,313,20,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
04/05/2020,318,14,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
03/05/2020,270,13,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
02/05/2020,228,7,Poland,41.8,27216.445,5.91,,6.62,78.73,472.540722,6.776751729,37970874.0
